num	image	title
1	../doomtowndb/00_files/01001.jpg	The Fourth Ring
2	../doomtowndb/00_files/01002.jpg	Law Dogs
3	../doomtowndb/00_files/01003.jpg	Morgan Cattle Co.
4	../doomtowndb/00_files/01004.jpg	The Sloane Gang
5	../doomtowndb/00_files/01005.jpg	Micah Ryse
6	../doomtowndb/00_files/01006.jpg	Mongwau the Mighty
7	../doomtowndb/00_files/01007.jpg	Bobo
8	../doomtowndb/00_files/01008.jpg	Arnold McCadish
9	../doomtowndb/00_files/01009.jpg	The Ghostly Gun
10	../doomtowndb/00_files/01010.jpg	Avie Cline
11	../doomtowndb/00_files/01011.jpg	Kevin Wainwright
12	../doomtowndb/00_files/01012.jpg	Tyxarglenak
13	../doomtowndb/00_files/01013.jpg	Jia Mein
14	../doomtowndb/00_files/01014.jpg	Ivor Hawley
15	../doomtowndb/00_files/01015.jpg	Lucinda "Lucy" Clover
16	../doomtowndb/00_files/01016.jpg	Judge Harry Somerset
17	../doomtowndb/00_files/01017.jpg	Philip Swinford
18	../doomtowndb/00_files/01018.jpg	Tommy Harden
19	../doomtowndb/00_files/01019.jpg	Prescott Utter
20	../doomtowndb/00_files/01020.jpg	Andreas Andregg
21	../doomtowndb/00_files/01021.jpg	Xiong "Wendy" Cheng
22	../doomtowndb/01_files/01022.jpg	Clyde Owens
23	../doomtowndb/01_files/01023.jpg	Abram Grothe
24	../doomtowndb/01_files/01024.jpg	Sheriff Dave Montreal
25	../doomtowndb/01_files/01025.jpg	Irving Patterson
26	../doomtowndb/01_files/01026.jpg	Prof. Eustace True
27	../doomtowndb/01_files/01027.jpg	Elander Boldman
28	../doomtowndb/01_files/01028.jpg	James Ghetty
29	../doomtowndb/01_files/01029.jpg	Jon Longstride
30	../doomtowndb/01_files/01030.jpg	Lane Healey
31	../doomtowndb/01_files/01031.jpg	Jarrett Blake
32	../doomtowndb/01_files/01032.jpg	Harold Aimslee
33	../doomtowndb/01_files/01033.jpg	Rémy LaPointe
34	../doomtowndb/01_files/01034.jpg	Max Baine
35	../doomtowndb/01_files/01035.jpg	Allie Hensman
36	../doomtowndb/01_files/01036.jpg	Fred Aims
37	../doomtowndb/01_files/01037.jpg	Lawrence Blackwood
38	../doomtowndb/01_files/01038.jpg	Marion Seville
39	../doomtowndb/01_files/01039.jpg	Sanford Taylor
40	../doomtowndb/01_files/01040.jpg	Barton Everest
41	../doomtowndb/01_files/01041.jpg	Pancho Castillo
42	../doomtowndb/01_files/01042.jpg	Jonah Essex
43	../doomtowndb/02_files/01043.jpg	Silas Aims
44	../doomtowndb/02_files/01044.jpg	Sloane
45	../doomtowndb/02_files/01045.jpg	Clementine Lepp
46	../doomtowndb/02_files/01046.jpg	Olivia Jenks
